cilindro,medidacorte,cortepassanteace,cortepassante,medidardacedb,medidaCRDacedb,infoRebaixoComp,infoRebaixoDiam,medidaRD,medidaCRD,medidaRT,medidartaced,medidaRTpassante,medidaRD_MI,medidaCRDMI,medidaRT_MI,imghasteaced,imagemdahaste,medidarebaixo,medidacomprimento,rebaixobocadechave,diamrebbocadechave,rebaixotraseira,rebaixooring,distanciaoring,diametrohaste,imgpassante,materiaprima,embolo,medidaRD_CCB,medidaRT_CCB,medidacortetubo,cortetuboccmbpassante,rosca,imagemdotubo,materiaprimatubo,diametroguia,materiaprimaguia,medidaguia,roscaguia,imagemguia,diametrotirante,materiaprimatirante,medidatirante,roscatirante,roscatiranteb,imagemtirante,rebaixoDianteiraCCMB,rebaixoTraseiraCCMB,furacao,imgAlimentacao,c,diametroc,a,diametroae,b,ctraseira,diametroctraseira,atraseira,diametroaetraseira,btraseira,roscaalimentacao,comprimentoalimentacao,diametrorebaixo,comprimentorebaixo,diamx,compx,diamz,distz,compz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCMB16L-F,"26,5mm",,,,,,,"M4x0,7 X ",8mm F,"M5x0,8 X 10mm",,,,,,,img/ccmb-ccb16-f.png,"0,5mm",3mm,,,,,,Ø8,,HASTE-08,,,,"30,5mm",,"M4x0,7 X 10mm",imgTubo/CCMBL.png,CCMBLTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
CCMB20L-F,23mm,,,,,,,"M5x0,8 X ",10mm F,M6x1 X 12mm,,,,,,,img/ccmb-femea.png,1mm,4mm,,,,,,Ø10,,HASTE-10,,,,31mm,,M6x1 X 15mm,imgTubo/CCMBL.png,CCMBLTUBO-20,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"4,5mm",22mm,"1,2mm","23,5mm","1,3mm",7mm,22mm,"1,2mm","23,5mm","1,3mm","M5 X 0,8mm",5mm,9mm,7mm,,,,,
CCMB25L-F,25mm,,,,,,,M6x1 X ,12mm F,"M8x1,25 X 11,5mm",,,,,,,img/ccmb-femea.png,1mm,4mm,,,,,,Ø12,,HASTE-12,,,,31mm,,M6x1 X 15mm,imgTubo/CCMBL.png,CCMBLTUBO-25,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"4,5mm",26mm,"1,2mm",29mm,"1,3mm",7mm,26mm,"1,2mm",29mm,"1,3mm","M5 X 0,8mm","3,5mm",9mm,7mm,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCMB12-M,35mm,,,,,,,"M5x0,8 X ","10,5mm","M4x0,7 X 11,5mm",,,,,,,img/ccmb-macho.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,28mm,,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-12,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,4mm,14mm,"1,2mm",15mm,"1,3mm",7mm,14mm,"1,2mm",15mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm",,,,,
CCMB16-M,"38,7mm",,,,,,,"M6x1,00 X ",12mm,"M5x0,8 X 10mm",,,,,,,img/ccmb-ccb16.png,"0,5mm",3mm,"3,5mm","7,7mm",,,,Ø8,,HASTE-08,,,,"30,5mm",,"M4x0,7 X 10mm",imgTubo/ccmb-ccb.png,CCMBTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
CCMB20-M,37mm,,,,,,,"M8x1,25 X ",14mm,M6x1 X 12mm,,,,,,,img/ccmb-macho.png,1mm,4mm,"4,5mm","9,7mm",,,,Ø10,,HASTE-10,,,,"31,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-20,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",22mm,"1,2mm","23,5mm","1,3mm",7mm,22mm,"1,2mm","23,5mm","1,3mm","M5 X 0,8mm",5mm,9mm,7mm,,,,,
CCMB25-M,"42,5mm",,,,,,,"M10x1,25 X ","17,5mm","M8x1,25 X 11mm",,,,,,,img/ccmb-macho.png,1mm,4mm,"4,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,"32,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-25,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"4,5mm",26mm,"1,2mm",29mm,"1,3mm",7mm,26mm,"1,2mm",29mm,"1,3mm","M5 X 0,8mm","3,5mm",9mm,7mm,,,,,
CCMB40-M,65mm,,,,,,,"M14x1,5 X ","23,5mm","M12x1,25 X 14mm",,,,,,,img/ccmb-macho.png,1mm,"4,5mm","5,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,"39,5mm",,M6x1 X 15mm,imgTubo/ccmb-ccb.png,CCMBTUBO-40,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,7mm,42mm,"1,7mm","44,5mm","2,8mm","7,5mm",42mm,"1,7mm","44,5mm","1,3mm",BSP 1/8,9mm,9mm,7mm,,,,,
CCMB50-M,61mm,,,,,,,"M18x1,5 X ","28,5mm","M12x1,25 X 13,5mm",,,,,,,img/ccmb-macho.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,,,,40mm,,"M8x1,25 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-50,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"7,6mm",52mm,"2,2mm",56mm,"3,3mm","9,5mm",52mm,"2,2mm",56mm,"2,8mm",BSP 1/4,11mm,11mm,8mm,,,,,
CCMB63-M,74mm,,,,,,,"M18x1,5 X ","28,5mm","M16x1,5 X 18mm",,,,,,,img/ccmb-macho.png,"1,5mm","4,5mm","5,5mm",19mm,,,,Ø20,,HASTE-20,,,,"45,5mm",,"M10x1,5 X 20mm",imgTubo/ccmb-ccb.png,CCMBTUBO-63,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"8,8mm",65mm,"2,7mm",68mm,"4,1mm","10,5mm",65mm,"2,7mm",68mm,"2,8mm",BSP 1/4,11mm,14mm,"10,5mm",,,,,
CCMB80-M,"78,5mm",,,,,,,"M22x1,5 X ","35,5mm","M20x1,5 X 16mm",,,,,,,img/ccmb-macho.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,,HASTE-25,,,,"52,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-80,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"10,3mm",82mm,"2,7mm","85,5mm","5,1mm","11,8mm",82mm,"2,7mm","85,5mm","2,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
CCMB100-M,87mm,,,,,,,"M26x1,5 X ","35,5mm","M20x1,5 X 19mm",,,,,,,img/ccmb-macho.png,"1,5mm",7mm,8mm,29mm,,,,Ø30,,HASTE-30,,,,"63,5mm",,"M12x1,75 X 25mm",imgTubo/ccmb-ccb.png,CCMBTUBO-100,,,,,,,,,,,,imgCcmb/rebaixoD.png,imgCcmb/rebaixoT.png,imgCcmb/furacao.png,imgCcmb/alimentacao.png,"13,7mm",102mm,"2,7mm",106mm,"8,5mm","14,45mm",102mm,"2,7mm",106mm,"4,8mm",BSP 3/8,11mm,18mm,"13,5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCMB16L-M,"38,7mm",,,,,,,"M6x1,00 X ",12mm,"M5x0,8 X 10mm",,,,,,,img/ccmb-ccb16.png,1mm,3mm,,,,,,Ø8,,HASTE-08,,,,"30,5mm",,"M4x0,7 X 10mm",imgTubo/CCMBL.png,CCMBLTUBO-16,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"6,8mm",18mm,"1,2mm",19mm,"1,3mm","6,8mm",18mm,"1,2mm",19mm,"1,3mm","M5 X 0,8mm","3,5mm",6mm,"3,5mm","Ø5,5",11mm,,,
CCMB20L-M,37mm,,,,,,,"M8x1,25 X ",14mm,M6x1 X 12mm,,,,,,,img/ccmb-macho.png,1mm,4mm,,,,,,Ø10,,HASTE-10,,,,31mm,,M6x1 X 15mm,imgTubo/CCMBL.png,CCMBLTUBO-20,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"4,5mm",22mm,"1,2mm","23,5mm","1,3mm",7mm,22mm,"1,2mm","23,5mm","1,3mm","M5 X 0,8mm",5mm,9mm,7mm,,,,,
CCMB25L-M,"42,5mm",,,,,,,"M10x1,25 X ","17,5mm","M8x1,25 X 11mm",,,,,,,img/ccmb-macho.png,1mm,4mm,,,,,,Ø12,,HASTE-12,,,,31mm,,M6x1 X 15mm,imgTubo/CCMBL.png,CCMBLTUBO-25,,,,,,,,,,,,imgCcmb/rebaixoDianteiraL.png,imgCcmb/rebaixoTraseiraL.png,imgCcmb/furacaoL.png,imgCcmb/alimentacaoL.png,"4,5mm",26mm,"1,2mm",29mm,"1,3mm",7mm,26mm,"1,2mm",29mm,"1,3mm","M5 X 0,8mm","3,5mm",9mm,7mm,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN12-F,32mm,,,,,,,M3 X ,8mm F,"M4x0,7 X 14mm",,,,,,,img/ccn-femea.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN16-F,31mm,,,,,,,M4 X ,10mm F,"M5x0,8 X 9mm",,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN20-F,34mm,,,,,,,M6 X ,14mm F,M6x1 X 11mm,,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN25-F,"33,5mm",,,,,,,M6 X ,15mm F,M6x1 X 10mm,,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN32-F,"38,5mm",,,,,,,M8 X ,16mm F,"M8x1,25 X 12mm",,,,,,,img/ccn-femea.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN40-F,"39,5mm",,,,,,,M8 X ,16mm F,"M8x1,25 X 12,5mm",,,,,,,img/ccn-femea.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN50-F,"42,5mm",,,,,,,M10 X ,20mm F,"M10x1,25 X 12,5mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN63-F,"45,5mm",,,,,,,M10 X ,20mm F,"M10x1,25 X 15mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN80-F,50mm,,,,,,,M12 X ,20mm F,"M16x1,5 X 17mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN100-F,55mm,,,,,,,M12 X ,20mm F,"M16x1,5 X 17,5mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,25mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN125-F,"68,5mm",,,,,,,M16 X ,25mm F,"M20x1,5 X 20mm",,,,,,,img/ccn-femea.png,2mm,9mm,10mm,24mm,,,,Ø25,,HASTE-25,,,,41mm,,"M10x1,5 X 20mm",imgTubo/ccn.png,CCNTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN12-M,42mm,,,,,,,"M5x0,8 X ",10mm,"M4x0,7 X 14mm ",,,,,,,img/ccn-macho.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN16-M,43mm,,,,,,,"M6x1,00 X ",12mm,"M5x0,8 X 9mm",,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN20-M,50mm,,,,,,,"M8x1,25 X ",16mm,M6x1 X 10mm,,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN25-M,"51,5mm",,,,,,,"M8x1,25 X ",16mm,M6x1 X 11mm,,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN32-M,"57,5mm",,,,,,,"M10x1,25 X ",19mm,"M8x1,25 X 12mm",,,,,,,img/ccn-macho.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN40-M,"58,5mm",,,,,,,"M10x1,25 X ",19mm,"M8x1,25 X 12,5mm",,,,,,,img/ccn-macho.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN50-M,"64,5mm",,,,,,,"M12x1,25 X ",22mm,"M10x1,25 X 12,5mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN63-M,"67,5mm",,,,,,,"M12x1,25 X ",22mm,"M10x1,25 X 15mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN80-M,78mm,,,,,,,"M16x1,5 X ",28mm,"M16x1,5 X 17mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN100-M,83mm,,,,,,,"M16x1,5 X ",28mm,"M16x1,5 X 17,5mm",,,,,,,img/ccn-macho.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,26mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN125-M,"108,5mm",,,,,,,"M20X1,5 X ",40mm,"M20x1,5 X 20mm",,,,,,,img/ccn-macho.png,2mm,9mm,10mm,24mm,,,,Ø25,,HASTE-25,,,,41mm,,"M10x1,5 X 20mm",imgTubo/ccn.png,CCNTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN12F-A,32mm,,,,,,,M3 X ,8mm F,"M4x0,7 X 14mm",,,,,,,img/ccn-femea.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN16F-A,31mm,,,,,,,M4 X ,10mm F,"M5x0,8 X 9mm",,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN20F-A,34mm,,,,,,,M6 X ,14mm F,M6x1 X 11mm,,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN25F-A,"33,5mm",,,,,,,M6 X ,15mm F,M6x1 X 10mm,,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN32F-A,"38,5mm",,,,,,,M8 X ,16mm F,"M8x1,25 X 12mm",,,,,,,img/ccn-femea.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN40F-A,"39,5mm",,,,,,,M8 X ,16mm F,"M8x1,25 X 12,5mm",,,,,,,img/ccn-femea.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN50F-A,"42,5mm",,,,,,,M10 X ,20mm F,"M10x1,25 X 12,5mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN63F-A,"45,5mm",,,,,,,M10 X ,20mm F,"M10x1,25 X 15mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN80F-A,50mm,,,,,,,M12 X ,20mm F,"M16x1,5 X 17mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN100F-A,55mm,,,,,,,M12 X ,20mm F,"M16x1,5 X 17,5mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,25mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN125F-A,"68,5mm",,,,,,,M16 X ,25mm F,"M20x1,5 X 20mm",,,,,,,img/ccn-femea.png,2mm,9mm,10mm,24mm,,,,Ø25,,HASTE-25,,,,41mm,,"M10x1,5 X 20mm",imgTubo/ccn.png,CCNTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN12F-R,32mm,,,,,,,M3 X ,8mm F,"M4x0,7 X 14mm",,,,,,,img/ccn-femea.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN16F-R,31mm,,,,,,,M4 X ,10mm F,"M5x0,8 X 9mm",,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN20F-R,34mm,,,,,,,M6 X ,14mm F,M6x1 X 11mm,,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,13mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN25F-R,"33,5mm",,,,,,,M6 X ,15mm F,M6x1 X 10mm,,,,,,,img/ccn-femea.png,"0,5mm","4,5mm",5mm,"9,7mm",,,,Ø10,,HASTE-10,,,,15mm,,M8x1 X 16mm,imgTubo/ccn.png,CCNTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN32F-R,"38,5mm",,,,,,,M8 X ,16mm F,"M8x1,25 X 12mm",,,,,,,img/ccn-femea.png,1mm,"4,5mm",5mm,"11,5mm",,,,Ø12,,HASTE-12,,,,14mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN40F-R,"39,5mm",,,,,,,M8 X ,16mm F,"M8x1,25 X 12,5mm",,,,,,,img/ccn-femea.png,1mm,5mm,"5,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,15mm,,M10x1 X 20mm,imgTubo/ccn.png,CCNTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN50F-R,"42,5mm",,,,,,,M10 X ,20mm F,"M10x1,25 X 12,5mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,16mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN63F-R,"45,5mm",,,,,,,M10 X ,20mm F,"M10x1,25 X 15mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,"15,5mm",,,,Ø16,,HASTE-16,,,,19mm,,M12x1 X 24mm,imgTubo/ccn.png,CCNTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN80F-R,50mm,,,,,,,M12 X ,20mm F,"M16x1,5 X 17mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,"22,5mm",,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN100F-R,55mm,,,,,,,M12 X ,20mm F,"M16x1,5 X 17,5mm",,,,,,,img/ccn-femea.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,,HASTE-20,,,,25mm,,"M8x1,25 X 16mm",imgTubo/ccn.png,CCNTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN125F-R,"68,5mm",,,,,,,M16 X ,25mm F,"M20x1,5 X 20mm",,,,,,,img/ccn-femea.png,2mm,9mm,10mm,24mm,,,,Ø25,,HASTE-25,,,,41mm,,"M10x1,5 X 20mm",imgTubo/ccn.png,CCNTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN12M-A,42mm,,,,,,,"M5x0,8 X ",10mm,"M4x0,7 X 14mm ",,,,,,,img/ccn-macho.png,"0,5mm",3mm,"3,5mm","5,7mm",,,,Ø6,,HASTE-06,,,,15mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN16M-A,43mm,,,,,,,"M6x1,00 X ",12mm,"M5x0,8 X 9mm",,,,,,,img/ccn-macho.png,"0,5mm","4,5mm",5mm,"7,7mm",,,,Ø8,,HASTE-08,,,,12mm,,M6x1 X 12mm,imgTubo/ccn.png,CCNTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
